Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Sean Anderson,20246955,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Networking, System support – help desk, Business analysis, Mobile app development, UX/UI design","Hospital, Waikato Regional Council",Internship,Classroom project,For Review,2022 S2,24/11/1996,
Alexis Baker,20216614,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,Other,"Tuatahi First Fibre, Gallagher, IT Partners",Industry project,Industry project,Placed,2020 S2,16/02/2003,9/07/2024
Nichole Alvarez,20247453,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"System support – help desk, Game development, Data analytics, Software testing","Blackout Games, Fonterra, LIC",Classroom project,Design Factory,Placed,2021 S2,8/04/2006,15/07/2024
Jodi Walker,20280623,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Security, Other, Mobile app development","Fonterra, Datacom",GIG - Internal client based projects,Internship,Placed,2020 S2,12/04/1990,20/07/2024
Susan Hopkins,20239535,Female,International,B grade,Master of Applied IT,Software Engineering,"Game development, System support – help desk, Networking, Security, Mobile app development","HCC - Hamilton City Council, Fonterra",GIG - Internal client based projects,Design Factory,Placed,2024 S1,22/05/2004,22/02/2024
Amanda Lutz,20252640,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Business analysis, Database, Data analytics, System support – help desk",CTEK,Internship,Classroom project,For Review,2022 S1,23/04/2003,
Katherine Browning,20209632,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Project management, API development",Tuatahi First Fibre,Internship,Internal client internship/project,Available,2023 S2,22/07/1991,
Charles Martinez,20281830,Female,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Mobile app development, Game development","Datacom, Tuatahi First Fibre, Gallagher",Internal client internship/project,Classroom project,Available,2022 S1,14/11/1999,
Kyle Phillips,20266263,Female,International,A grade,Master of Applied IT,Network Engineering,Project management,"Other, Blackout Games, Fonterra",Design Factory,Industry project,Placed,2020 S1,11/06/2003,27/02/2024
Michael Farrell,20285316,Female,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Security, Game development, UX/UI design",Blackout Games,Design Factory,Design Factory,Placed,2024 S2,14/02/1996,4/07/2024
Stephen Gutierrez,20259441,Female,International,A grade,Bachelor of Applied IT,Software Engineering,"Networking, Game development",Hospital,Classroom project,Industry project,Placed,2021 S1,16/05/2002,9/02/2024
Brandon Simmons,20287177,Female,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Mobile app development, API development, Database, Data analytics, Networking","LIC, Fonterra, Datacom, Hospital",Design Factory,Design Factory,Placed,2020 S2,23/06/1997,19/07/2024
Christian Leblanc,20208799,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Game development, Project management, Data analytics","Gallagher, Datacom, IT Partners, Fonterra",Industry project,Design Factory,Placed,2023 S1,28/11/1991,13/02/2024
Anna Davis,20296835,Female,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Mobile app development, Networking, Other","IT Partners, Other, Tuatahi First Fibre",GIG - Internal client based projects,GIG - Internal client based projects,For Review,2021 S2,26/06/2001,
Kristie Willis,20273608,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Project management, Security, Web development, Data analytics, UX/UI design","Enlighten Design, Tuatahi First Fibre, Blackout Games, CTEK",Internship,Design Factory,For Review,2020 S2,8/01/2000,
Jennifer Russo,20298341,Female,International,C grade,Master of Applied IT,Network Engineering,"Web development, Other",HCC - Hamilton City Council,Internship,Classroom project,For Review,2022 S2,13/03/2003,
Michelle Schmitt,20278696,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Project management,HCC - Hamilton City Council,Internal client internship/project,Classroom project,Placed,2023 S2,8/06/1999,28/07/2024
Kenneth Lewis,20286079,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,API development,Fonterra,Internship,Industry project,Placed,2021 S2,18/03/2005,21/07/2024
Brian Bruce,20248176,Male,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Networking, Software testing, Project management, Other, Data analytics","Hospital, Datacom",Design Factory,Internship,For Review,2022 S1,17/09/1992,
Laura Aguirre,20273526,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"API development, Web development, Data analytics, Other","Waikato Regional Council, LIC, Gallagher, Blackout Games",GIG - Internal client based projects,Internal client internship/project,Placed,2024 S2,12/09/1989,10/07/2024
Mary Steele,20203794,Female,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Project management, Mobile app development, API development","Hospital, Enlighten Design, Other",Internal client internship/project,Industry project,For Review,2024 S1,11/12/1994,
Phillip Dorsey,20246009,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,Project management,"IT Partners, Other, Fonterra, Hospital",Classroom project,GIG - Internal client based projects,For Review,2024 S2,4/01/1989,
Charles Sandoval,20209120,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Project management, Software testing, Data analytics, Other, Mobile app development","Datacom, Hospital, Blackout Games",Industry project,Internal client internship/project,For Review,2023 S2,19/08/1993,
Valerie Davis,20269531,Female,International,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Mobile app development, Web development","Fonterra, CTEK, Enlighten Design",Internal client internship/project,Design Factory,Available,2023 S2,15/02/1996,
Jesse Moore,20240846,Female,International,C grade,Master of Applied IT,Network Engineering,"Web development, Database, Security, Project management","Blackout Games, IT Partners, Fonterra, Gallagher",Industry project,Industry project,For Review,2022 S2,4/11/1999,
Latoya Miller,20206895,Female,International,B grade,Master of Applied IT,Software Engineering,Data analytics,"Hospital, Datacom, CTEK",GIG - Internal client based projects,Internship,For Review,2023 S2,5/02/1994,
Luke Craig,20235665,Male,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,System support – help desk,"Hospital, Fonterra, Enlighten Design, Other",Classroom project,Classroom project,For Review,2020 S1,18/11/2003,
Karla Ramos,20235804,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Software Engineering,Project management,Hospital,GIG - Internal client based projects,Industry project,For Review,2022 S2,20/02/1996,
Ashley Jordan,20237125,Male,International,B grade,Master of Applied IT,Database or Data Analytics,"Security, Networking","IT Partners, Tuatahi First Fibre, Blackout Games",Design Factory,Design Factory,Available,2023 S1,12/05/2005,
Elizabeth Walker,20278554,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Software testing, Game development",HCC - Hamilton City Council,Industry project,GIG - Internal client based projects,For Review,2021 S2,1/09/1990,
Eric Clark,20217987,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Project management, API development, Database, Business analysis",Waikato Regional Council,Internship,GIG - Internal client based projects,For Review,2020 S1,1/07/1997,
Bryan Jimenez,20256446,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"API development, Data analytics, UX/UI design, System support – help desk, Web development",IT Partners,Classroom project,GIG - Internal client based projects,For Review,2024 S1,13/10/1994,
Joseph Hall,20273233,Male,Domestic,A grade,Master of Applied IT,Network Engineering,"Security, Software testing, Other","HCC - Hamilton City Council, Waikato Regional Council, Other, IT Partners",Design Factory,Industry project,Available,2023 S1,8/11/2000,
Scott Williams,20202456,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Mobile app development, Web development, Networking, UX/UI design",LIC,Design Factory,GIG - Internal client based projects,Available,2021 S1,12/06/2004,
Shannon Johnston,20275156,Male,International,B grade,Master of Applied IT,Software Engineering,"API development, Other, Data analytics, Networking",Datacom,Internship,Internal client internship/project,Available,2022 S2,25/07/2002,
Jennifer Wilson,20202733,Male,International,A grade,Bachelor of Applied IT,Software Engineering,"Mobile app development, Other","Waikato Regional Council, IT Partners, LIC, CTEK",Internal client internship/project,Industry project,For Review,2023 S1,9/11/1999,
Travis Stevens,20290388,Female,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,"Project management, Software testing, System support – help desk, Security","Enlighten Design, Other",Internship,Industry project,For Review,2023 S1,11/02/2001,
Ryan Sanchez,20277184,Female,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Business analysis, Networking, Project management","Tuatahi First Fibre, Other",Internship,Classroom project,Available,2020 S1,6/06/2002,
Jennifer Collins,20244500,Female,Domestic,A grade,Master of Applied IT,Software Engineering,"Database, Other, UX/UI design",Fonterra,GIG - Internal client based projects,GIG - Internal client based projects,For Review,2023 S2,5/05/1996,
Christopher Dixon,20214945,Female,International,C grade,Master of Applied IT,Network Engineering,Project management,"Blackout Games, Tuatahi First Fibre",Classroom project,Industry project,For Review,2023 S2,26/02/2006,
Ricardo Bell,20284599,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Project management, Game development, Software testing, Web development, Security","Tuatahi First Fibre, Waikato Regional Council, Other, LIC",Classroom project,Classroom project,Available,2020 S2,30/10/1993,
Charles Gonzalez,20278957,Male,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Networking, Security, Business analysis, Project management","Blackout Games, Other, HCC - Hamilton City Council",GIG - Internal client based projects,GIG - Internal client based projects,Available,2022 S2,2/01/1994,
Mary Thompson,20282306,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"UX/UI design, Data analytics, Security",Other,GIG - Internal client based projects,Industry project,For Review,2022 S2,13/08/2005,
Justin Riley,20289277,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Data analytics, System support – help desk","LIC, IT Partners, Waikato Regional Council, HCC - Hamilton City Council",Industry project,Internship,Available,2021 S2,20/10/1999,
Lori Hernandez,20208950,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Security, Software testing, Data analytics, UX/UI design, Business analysis","Tuatahi First Fibre, Gallagher",Design Factory,GIG - Internal client based projects,For Review,2024 S1,4/10/2004,
Eric Hill,20207362,Female,International,C grade,Master of Applied IT,Software Engineering,"Security, Game development","Blackout Games, Fonterra, Enlighten Design",Design Factory,GIG - Internal client based projects,For Review,2022 S1,11/10/2000,
Emily Hayes,20207456,Female,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Business analysis, UX/UI design, Software testing, Database","Enlighten Design, Blackout Games, CTEK",GIG - Internal client based projects,GIG - Internal client based projects,Placed,2021 S2,8/05/2001,7/07/2024
Angela Lin,20211835,Female,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Database, UX/UI design, Project management, Mobile app development, Security","Blackout Games, Tuatahi First Fibre, Waikato Regional Council",Design Factory,GIG - Internal client based projects,Placed,2023 S1,21/01/2006,24/02/2024
Kevin Best,20296851,Female,Domestic,A grade,Master of Applied IT,Network Engineering,Game development,"Gallagher, Hospital",Internship,Industry project,Available,2021 S1,14/03/1990,
Robert Pearson,20242143,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Software testing, Database",CTEK,Classroom project,Internship,Placed,2024 S1,26/12/2004,24/02/2024
Tina Hayes,20245015,Female,International,C grade,Master of Applied IT,Database or Data Analytics,Game development,"Fonterra, Hospital, CTEK, Blackout Games",Internship,Internship,Placed,2022 S1,4/09/1991,20/02/2024
Carrie Wright,20257377,Female,International,C grade,Master of Applied IT,Database or Data Analytics,"Database, UX/UI design, Business analysis, Web development, Project management","Tuatahi First Fibre, Datacom, Hospital",Internship,Industry project,For Review,2024 S1,3/10/2003,
Lisa Cox,20237079,Female,International,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Business analysis","Gallagher, CTEK, Tuatahi First Fibre",GIG - Internal client based projects,Industry project,For Review,2021 S1,26/12/2001,
George Harper,20282691,Male,Domestic,B grade,Master of Applied IT,Database or Data Analytics,Software testing,"Blackout Games, HCC - Hamilton City Council, Datacom",Design Factory,Internship,Placed,2021 S1,10/03/2000,18/02/2024
Brandon Gregory,20237243,Female,International,B grade,Bachelor of Applied IT,Software Engineering,"Mobile app development, Other, API development","Other, Waikato Regional Council",Design Factory,Classroom project,Placed,2020 S1,18/05/1997,22/02/2024
Mary Escobar,20219709,Female,Domestic,A grade,Master of Applied IT,Software Engineering,Project management,"Fonterra, LIC, Other",Internal client internship/project,Design Factory,Placed,2022 S1,23/02/2000,17/02/2024
Matthew Rangel,20240662,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,"Mobile app development, Database",LIC,Industry project,Design Factory,Placed,2020 S1,21/02/2002,3/02/2024
Michael Miller,20249372,Male,International,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, UX/UI design","Hospital, LIC, Other, Datacom",Internship,Classroom project,Placed,2022 S2,25/12/1999,3/07/2024
Meagan Calderon,20296832,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Other, Web development, API development, Game development, Project management","Hospital, Fonterra, Enlighten Design, CTEK",Internship,Classroom project,Placed,2020 S2,18/09/2006,1/07/2024
Michael Romero,20202389,Male,International,C grade,Bachelor of Applied IT,Database or Data Analytics,"Security, API development, Project management, Software testing, Business analysis",IT Partners,Classroom project,Classroom project,Available,2020 S1,21/02/2001,
Trevor Peterson,20263736,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"API development, Project management, System support – help desk, Other, Mobile app development",Blackout Games,Design Factory,Industry project,For Review,2020 S1,4/05/1995,
Chad Jones,20213256,Female,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Game development, Project management","Datacom, Other",Industry project,Design Factory,Available,2021 S2,29/01/2006,
Sandy Stephenson,20204947,Male,International,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Project management, Security, API development",HCC - Hamilton City Council,GIG - Internal client based projects,Design Factory,Available,2022 S2,6/04/2000,
Lisa Harper,20220218,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Mobile app development, Data analytics","CTEK, Waikato Regional Council, Hospital, IT Partners",GIG - Internal client based projects,Design Factory,For Review,2024 S2,29/04/1994,
Michael Weber,20221697,Female,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Web development, Software testing, Other","IT Partners, CTEK, Datacom, Enlighten Design",Classroom project,Classroom project,Available,2022 S2,12/09/2003,
Jackson Ball,20258222,Female,International,A grade,Master of Applied IT,Network Engineering,"Other, System support – help desk, Database","IT Partners, Enlighten Design",GIG - Internal client based projects,Internship,Placed,2020 S2,1/07/1998,28/07/2024
Rachel Young,20231348,Male,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"API development, Database, Software testing, Data analytics, System support – help desk","Fonterra, HCC - Hamilton City Council, Waikato Regional Council",GIG - Internal client based projects,Internal client internship/project,For Review,2023 S2,2/05/1999,
Rachel Mckee,20225430,Male,Domestic,B grade,Master of Applied IT,Network Engineering,"Other, Software testing","Other, Blackout Games",Industry project,Classroom project,For Review,2021 S1,27/04/2001,
Laura Alexander,20236932,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Web development, Security, API development, Mobile app development","Gallagher, Hospital",Industry project,Design Factory,Available,2023 S1,18/10/2001,
Jennifer Martin,20226174,Female,International,A grade,Master of Applied IT,Database or Data Analytics,UX/UI design,"Enlighten Design, IT Partners, Waikato Regional Council",Design Factory,Design Factory,For Review,2023 S1,6/07/1993,
Amy Castillo,20248655,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"API development, Game development, Web development, Database, Software testing","CTEK, Tuatahi First Fibre, Enlighten Design",Design Factory,Internship,Placed,2021 S1,17/04/1992,6/02/2024
Kelli Martinez,20210993,Male,International,C grade,Master of Applied IT,Database or Data Analytics,"System support – help desk, Other","CTEK, Waikato Regional Council",GIG - Internal client based projects,Internship,Placed,2021 S2,5/04/1994,26/07/2024
Taylor Hernandez,20257340,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Web development, Business analysis, System support – help desk, Project management","Gallagher, HCC - Hamilton City Council, Other, Datacom",Design Factory,Design Factory,For Review,2021 S1,4/12/1991,
Courtney Hayes,20245820,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"Database, Game development",Enlighten Design,GIG - Internal client based projects,GIG - Internal client based projects,Available,2020 S2,17/09/1989,
James Brooks,20250615,Female,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Business analysis, System support – help desk, Other, Software testing","Datacom, Enlighten Design, Hospital",Internal client internship/project,Classroom project,Placed,2024 S2,1/08/1991,8/07/2024
Alfred Galvan,20293677,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Database, Other","Datacom, Waikato Regional Council, LIC, Other",Classroom project,Design Factory,Placed,2020 S1,18/03/2000,17/02/2024
Brenda Mitchell,20261925,Male,International,B grade,Master of Applied IT,Software Engineering,"Database, Networking, Project management, UX/UI design, Game development","CTEK, Gallagher, Blackout Games, Fonterra",Industry project,Classroom project,Available,2022 S2,11/07/1993,
Julie Gilbert,20210384,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Other, Security","Waikato Regional Council, Blackout Games, Fonterra",Internal client internship/project,Industry project,For Review,2020 S1,14/06/1989,
Ruben Dunn,20295320,Male,International,B grade,Master of Applied IT,Software Engineering,"Game development, Mobile app development, Security","Fonterra, Hospital",Design Factory,Internal client internship/project,Available,2024 S1,5/10/2006,
Ricardo Young,20215970,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Database, Software testing, Other, Data analytics","CTEK, Blackout Games",Design Factory,Classroom project,Available,2022 S1,6/06/1990,
Mark Dean,20208232,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Data analytics, Software testing","LIC, HCC - Hamilton City Council",Design Factory,Classroom project,Available,2024 S1,29/07/1992,
Kathryn Herrera,20282831,Male,International,B grade,Master of Applied IT,Network Engineering,Other,"Tuatahi First Fibre, Waikato Regional Council",Classroom project,Internship,For Review,2022 S1,4/05/2006,
Michelle Carter,20200205,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Business analysis, Project management, Database, API development",Other,Industry project,GIG - Internal client based projects,Available,2023 S2,22/10/2000,
Jason Beck,20211221,Male,Domestic,A grade,Bachelor of Applied IT,Software Engineering,"System support – help desk, Project management, Networking, Mobile app development, Web development",Datacom,Internship,Internal client internship/project,Available,2022 S2,13/08/2006,
Andrea Fox,20266496,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,Security,"Enlighten Design, Blackout Games, Waikato Regional Council",Internal client internship/project,Internal client internship/project,Available,2021 S2,28/01/2006,
Jeanette Harrison,20283318,Male,Domestic,B grade,Master of Applied IT,Network Engineering,"System support – help desk, Game development, Database",Blackout Games,Internship,Design Factory,Available,2022 S2,19/12/2001,
Mrs. Alexis Kramer,20245193,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Software testing, Web development, Mobile app development, Other","Waikato Regional Council, Gallagher, Tuatahi First Fibre, LIC",Internal client internship/project,Internship,Available,2021 S2,3/01/1997,
Lori Ingram,20296362,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Web development, API development, Security","Hospital, Enlighten Design, CTEK, LIC",Design Factory,Industry project,Available,2022 S2,13/02/2000,
Harold Morgan,20284252,Male,Domestic,A grade,Master of Applied IT,Software Engineering,"UX/UI design, Web development, Software testing, Other","HCC - Hamilton City Council, Other, Enlighten Design",Industry project,Design Factory,Available,2021 S1,5/10/1994,
Melinda Pollard,20262722,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Networking, Software testing, Database, Other, Data analytics","Waikato Regional Council, CTEK, Tuatahi First Fibre",Design Factory,Internal client internship/project,Available,2021 S1,3/01/1995,
Amy Parsons,20259988,Female,Domestic,A grade,Master of Applied IT,Software Engineering,Database,"Tuatahi First Fibre, Blackout Games, Gallagher, Enlighten Design",Internal client internship/project,Classroom project,Placed,2021 S1,23/01/1990,4/02/2024
Andrew Gonzalez,20205492,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Game development, Business analysis",CTEK,Internal client internship/project,Design Factory,Available,2021 S1,18/07/1999,
Kaylee Hays,20271176,Female,International,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Data analytics, Game development","Fonterra, Enlighten Design",Internal client internship/project,Internal client internship/project,Available,2022 S1,29/11/2004,
Paul Lee,20246789,Male,International,C grade,Master of Applied IT,Software Engineering,UX/UI design,"Other, HCC - Hamilton City Council, Blackout Games",Classroom project,Classroom project,For Review,2021 S1,7/06/1990,
Evelyn Martinez,20248237,Male,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"System support – help desk, Project management, Database, UX/UI design","Other, Tuatahi First Fibre, IT Partners",Internal client internship/project,Design Factory,Placed,2020 S1,3/09/2003,4/02/2024
Natalie Kline,20250678,Male,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Data analytics,"IT Partners, CTEK, Enlighten Design",Design Factory,Design Factory,Available,2022 S2,4/05/2000,
Kathleen Jimenez,20268062,Female,International,B grade,Master of Applied IT,Software Engineering,"Business analysis, Project management, Software testing, Database, System support – help desk","CTEK, Other, Hospital",Design Factory,Classroom project,Placed,2023 S2,17/11/1997,13/07/2024
Monica Miller,20278964,Female,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Game development, Project management, Business analysis","LIC, Other, Datacom, CTEK",Industry project,Internal client internship/project,Available,2022 S1,11/12/1994,
Erica Miller,20286628,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, Data analytics, Game development, System support – help desk, Project management",Datacom,GIG - Internal client based projects,Industry project,Placed,2022 S1,12/11/1998,23/02/2024
Lance Simmons,20290408,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,Security,"Blackout Games, Gallagher, Enlighten Design, Fonterra",Design Factory,Internship,For Review,2022 S1,28/11/2003,
Andrew Berg,20246210,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, UX/UI design","Tuatahi First Fibre, Hospital, Datacom",Industry project,Design Factory,For Review,2020 S1,9/08/2003,
William Gould,20209835,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Data analytics, System support – help desk, UX/UI design, Database, Software testing","Hospital, Enlighten Design, Other, Waikato Regional Council",Classroom project,Design Factory,Placed,2024 S1,17/08/2002,12/02/2024
Robert Shelton,20204081,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Game development, API development, System support – help desk","Gallagher, Other, Blackout Games",Industry project,Internal client internship/project,Available,2023 S2,30/08/1993,
Megan Kim,20216545,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Software testing, API development, Business analysis, Web development",Blackout Games,Internal client internship/project,Industry project,Available,2024 S1,3/02/1991,
Matthew Cox,20274349,Female,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Web development, API development, Security, Game development","Blackout Games, Waikato Regional Council",GIG - Internal client based projects,GIG - Internal client based projects,Available,2022 S1,27/11/1989,
Meghan Rush,20248760,Female,Domestic,A grade,Bachelor of Applied IT,Software Engineering,"API development, Security","Waikato Regional Council, Tuatahi First Fibre, IT Partners, Other",Classroom project,Industry project,Available,2020 S1,29/11/2003,
Laura Moreno,20252171,Male,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"System support – help desk, UX/UI design, Data analytics",HCC - Hamilton City Council,Internship,Industry project,For Review,2023 S2,3/07/1999,
Danielle Wilson,20296426,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"UX/UI design, Software testing, Networking, Mobile app development",Other,Industry project,Internship,Available,2023 S1,19/02/1995,
Mr. Justin Green III,20258493,Female,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Security,"Fonterra, Tuatahi First Fibre",Industry project,GIG - Internal client based projects,For Review,2021 S2,8/02/1996,
Donna Hendricks DDS,20216074,Male,International,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Project management, UX/UI design",Enlighten Design,Design Factory,Design Factory,For Review,2022 S1,3/06/1993,
Jodi Roach,20258341,Female,International,B grade,Bachelor of Applied IT,Software Engineering,Web development,"CTEK, Gallagher, Datacom, IT Partners",Design Factory,Internship,Available,2021 S2,17/10/1991,
Tracy Downs,20287535,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Software testing, Security, Web development","Tuatahi First Fibre, LIC",GIG - Internal client based projects,Design Factory,Available,2020 S1,16/08/2000,
Krista Roberts,20239315,Female,International,C grade,Master of Applied IT,Network Engineering,"Data analytics, Web development","Blackout Games, Hospital, CTEK",Classroom project,GIG - Internal client based projects,For Review,2020 S1,1/03/1994,
Tammy Little,20247381,Female,Domestic,C grade,Bachelor of Applied IT,Database or Data Analytics,Data analytics,"Blackout Games, IT Partners, Other, Tuatahi First Fibre",Industry project,Design Factory,For Review,2024 S1,11/02/2006,
William Conner,20264752,Female,Domestic,B grade,Master of Applied IT,Software Engineering,Database,"Tuatahi First Fibre, IT Partners",Internal client internship/project,Design Factory,Available,2023 S2,12/09/1989,
Kenneth Mcdonald,20272305,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Web development, Mobile app development, UX/UI design, Security, Database","HCC - Hamilton City Council, Blackout Games, Hospital, Tuatahi First Fibre",Design Factory,Industry project,Placed,2022 S1,21/03/1993,14/02/2024
Angelica Parker,20293969,Female,International,A grade,Master of Applied IT,Network Engineering,Other,"Datacom, Gallagher",Industry project,Internship,Available,2021 S2,2/02/2005,
Patricia Morrow,20209666,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Mobile app development,"Waikato Regional Council, Enlighten Design",Internship,Internship,For Review,2023 S2,25/01/1993,
Maria Cole,20289143,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Software testing, UX/UI design, Networking","Blackout Games, Gallagher, LIC",Internal client internship/project,Internship,For Review,2024 S1,29/05/2006,
Shawn Deleon,20283859,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Database, Project management","Waikato Regional Council, Hospital",Industry project,Design Factory,Placed,2024 S1,30/12/1994,24/02/2024
Betty Shaw,20207263,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,System support – help desk,"Blackout Games, Fonterra",Design Factory,Internal client internship/project,Placed,2021 S1,11/01/1993,20/02/2024
Elizabeth Martin,20292973,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"Game development, Software testing, Project management","Enlighten Design, CTEK, Waikato Regional Council, HCC - Hamilton City Council",Design Factory,Design Factory,For Review,2023 S1,23/06/1996,
Todd Jacobson,20210336,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,UX/UI design,IT Partners,Design Factory,Internship,Placed,2021 S1,1/05/1997,1/02/2024
Tyler Hill,20281922,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Other, Software testing","LIC, Gallagher",Classroom project,Internal client internship/project,For Review,2021 S1,9/02/1999,
Anna Davidson,20277569,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Business analysis,"Waikato Regional Council, HCC - Hamilton City Council, LIC, CTEK",Classroom project,Industry project,Available,2024 S2,19/01/1994,
Marcus Winters,20244252,Female,International,C grade,Master of Applied IT,Business Analysis or Project Management,Software testing,Other,Internal client internship/project,Internal client internship/project,Available,2023 S1,16/03/1990,
Alyssa Williams,20284076,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,API development,CTEK,Design Factory,Design Factory,For Review,2022 S2,23/10/1997,
Pamela Butler,20283753,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Software testing, Business analysis, Other, Database",HCC - Hamilton City Council,Classroom project,Internal client internship/project,Available,2021 S1,1/11/1989,
